AnoSemana,Semana,CPK>=1.33,1<=CPK<1.33,CPK<1
2025-Week 1,Week 1,6.9,4.0,89.1
2025-Week 6,Week 6,6.3,4.6,89.1
2025-Week 44,Week 44,6.9,4.0,89.1
2025-Week 45,Week 45,6.3,4.6,89.1
2025-Week 46,Week 46,6.6,4.6,88.9
